,Folder,ROI_h,ROI_w,ROI_x,ROI_y,Fault
0,A_corn_h/0/IMG_5136.JPG,414,2058,1941,963,0
1,A_corn_h/0/IMG_5138.JPG,414,2058,1941,963,0
2,A_corn_h/0/IMG_5141.JPG,414,2058,1941,963,0
3,A_corn_h/0/IMG_5143.JPG,414,2058,1941,963,0
4,A_corn_h/0/IMG_5145.JPG,414,2058,1941,963,0
5,A_corn_h/0/IMG_5147.JPG,414,2058,1941,963,0
6,A_corn_h/0/IMG_5149.JPG,414,2058,1941,963,0
7,A_corn_h/0/IMG_5151.JPG,414,2058,1941,963,0
8,A_corn_h/0/IMG_5153.JPG,414,2058,1941,963,0
9,A_corn_h/0/IMG_5155.JPG,414,2058,1941,963,0
10,A_corn_h/0/IMG_5157.JPG,414,2058,1941,963,0
11,A_corn_h/0/IMG_5159.JPG,414,2058,1941,963,0
12,A_corn_h/0/IMG_5161.JPG,414,2058,1941,963,0
13,A_corn_h/0/IMG_5163.JPG,414,2058,1941,963,0
14,A_corn_h/0/IMG_5165.JPG,414,2058,1941,963,0
15,A_corn_h/0/IMG_5167.JPG,414,2058,1941,963,0
16,A_corn_h/0/IMG_5169.JPG,414,2058,1941,963,0
17,A_corn_h/0/IMG_5171.JPG,414,2058,1941,963,0
18,A_corn_h/0/IMG_5173.JPG,414,2058,1941,963,0
19,A_corn_h/0/IMG_5175.JPG,414,2058,1941,963,0
20,A_corn_h/0/IMG_5177.JPG,414,2058,1941,963,0
21,A_corn_h/0/IMG_5179.JPG,414,2058,1941,963,0
22,A_corn_h/0/IMG_5181.JPG,414,2058,1941,963,0
23,A_corn_h/0/IMG_5183.JPG,414,2058,1941,963,0
24,A_corn_h/0/IMG_5185.JPG,414,2058,1941,963,0
25,A_corn_h/0/IMG_5187.JPG,414,2058,1941,963,0
26,A_corn_h/0/IMG_5189.JPG,414,2058,1941,963,0
27,A_corn_h/0/IMG_5191.JPG,414,2058,1941,963,0
28,A_corn_h/0/IMG_5193.JPG,414,2058,1941,963,0
29,A_corn_h/0/IMG_5195.JPG,414,2058,1941,963,0
30,A_corn_h/0/IMG_5197.JPG,414,2058,1941,963,0
31,A_corn_h/0/IMG_5199.JPG,414,2058,1941,963,0
32,A_corn_h/0/IMG_5201.JPG,414,2058,1941,963,0
33,A_corn_h/0/IMG_5203.JPG,414,2058,1941,963,0
34,A_corn_h/0/IMG_5205.JPG,414,2058,1941,963,0
35,A_corn_h/0/IMG_5207.JPG,414,2058,1941,963,0
36,A_corn_h/0/IMG_5209.JPG,414,2058,1941,963,0
37,A_corn_h/0/IMG_5211.JPG,414,2058,1941,963,0
38,A_corn_h/0/IMG_5214.JPG,414,2058,1941,963,0
39,A_corn_h/0/IMG_5216.JPG,414,2058,1941,963,0
40,A_corn_h/0/IMG_5218.JPG,414,2058,1941,963,0
41,A_corn_h/0/IMG_5220.JPG,414,2058,1941,963,0
42,A_corn_h/0/IMG_5222.JPG,414,2058,1941,963,0
43,A_corn_h/0/IMG_5224.JPG,414,2058,1941,963,0
44,A_corn_h/0/IMG_5226.JPG,414,2058,1941,963,0
45,A_corn_h/0/IMG_5228.JPG,414,2058,1941,963,0
46,A_corn_h/0/IMG_5230.JPG,414,2058,1941,963,0
47,A_corn_h/0/IMG_5232.JPG,414,2058,1941,963,0
48,A_corn_h/0/IMG_5234.JPG,414,2058,1941,963,0
49,A_corn_h/0/IMG_5236.JPG,414,2058,1941,963,0
50,A_corn_h/0/IMG_5238.JPG,414,2058,1941,963,0
51,A_corn_h/0/IMG_5240.JPG,414,2058,1941,963,0
52,A_corn_h/0/IMG_5242.JPG,414,2058,1941,963,0
53,A_corn_h/0/IMG_5244.JPG,414,2058,1941,963,0
